user_id,book_id,book_title,rating
Gary the Bookworm,19288043,Gone Girl,4
Emma Giordano,19288043,Gone Girl,5
Federico DN,19288043,Gone Girl,4
Sasha Alsberg,58613424,Harry Potter and the Goblet of Fire,5
Hannah Azerang,58613424,Harry Potter and the Goblet of Fire,5
Nilufer Ozmekik,58613424,Harry Potter and the Goblet of Fire,5
Chelsea Humphrey,58613424,Harry Potter and the Goblet of Fire,5
Tharindu Dissanayake,58613424,Harry Potter and the Goblet of Fire,5
Miranda Reads,58613424,Harry Potter and the Goblet of Fire,5
Lisa of Troy,58613424,Harry Potter and the Goblet of Fire,3
Luca Ambrosino,58613424,Harry Potter and the Goblet of Fire,5
Sean Barrs,58613424,Harry Potter and the Goblet of Fire,5
Natilie Bell,58613424,Harry Potter and the Goblet of Fire,3
Sean Barrs,119322,The Golden Compass,5
Sean Gibson,119322,The Golden Compass,3
Leonard Gaya,119322,The Golden Compass,4
jessica yeung,119322,The Golden Compass,4
Dave Schaafsma,119322,The Golden Compass,5
Shawna Finnigan,119322,The Golden Compass,4
mark monday,119322,The Golden Compass,5
Tony Z,119322,The Golden Compass,5
Wendy Darling,119322,The Golden Compass,5
Charlotte May,119322,The Golden Compass,2
A Mac,119322,The Golden Compass,4
Sean Barrs,52036,Siddhartha,5
Vit Babenco,52036,Siddhartha,5
Nandakishore Mridula,52036,Siddhartha,4
Carolyn Marie,52036,Siddhartha,4
Henry Avila,52036,Siddhartha,4
Aitor Castrillo,52036,Siddhartha,5
Franco Santos,52036,Siddhartha,4
Jonathan Ashleigh,52036,Siddhartha,3
jessica yeung,16299,And Then There Were None,3
Emily May,16299,And Then There Were None,5
Nilufer Ozmekik,16299,And Then There Were None,5
Mohammed Arabey,16299,And Then There Were None,5
Maggie Stiefvater,16299,And Then There Were None,5
Charlotte May,16299,And Then There Were None,4
Lisa of Troy,16299,And Then There Were None,4
El Librero de Valentina,16299,And Then There Were None,5
Taufiq Yves,16299,And Then There Were None,5
Kai Spellmeier,16299,And Then There Were None,4
Dear Faye,345627,Vampire Academy,3
Kat Kennedy,345627,Vampire Academy,3
Libro Joven,345627,Vampire Academy,5
Emily May,345627,Vampire Academy,4
Chelsea Humphrey,345627,Vampire Academy,4
Josu Diamond,345627,Vampire Academy,3
Emma Giordano,345627,Vampire Academy,5
mark monday,345627,Vampire Academy,3
Emily May,3836,Don Quixote,4
Vit Babenco,3836,Don Quixote,5
Leonard Gaya,3836,Don Quixote,5
Nilufer Ozmekik,3836,Don Quixote,5
MJ Nicholls,3836,Don Quixote,5
Riku Sayuj,3836,Don Quixote,5
Michael Finocchiaro,3836,Don Quixote,5
Carolyn Marie,3836,Don Quixote,5
Always Pouting,3836,Don Quixote,3
Oguz Akturk,3836,Don Quixote,5
Eric Althoff,252577,Angela's Ashes,4
Mitch Albom,252577,Angela's Ashes,5
Julie G,252577,Angela's Ashes,5
George Bradford,252577,Angela's Ashes,4
Michael Finocchiaro,252577,Angela's Ashes,5
Adam Floridia,252577,Angela's Ashes,4
Jonathan Ashleigh,252577,Angela's Ashes,4
Angela Paquin,252577,Angela's Ashes,1
Lisa of Troy,2165,The Old Man and the Sea,5
Will Byrnes,2165,The Old Man and the Sea,5
Vit Babenco,2165,The Old Man and the Sea,3
Andy Marr,2165,The Old Man and the Sea,2
Rowan MacDonald,2165,The Old Man and the Sea,4
Riku Sayuj,2165,The Old Man and the Sea,5
David Putnam,2165,The Old Man and the Sea,5
Valeriu Gherghel,2165,The Old Man and the Sea,3
Dave Schaafsma,2165,The Old Man and the Sea,5
